id,model,capacity,original_carrier,unlocked,battery,screen_condition,frame_condition,imei,serial,color,source,known_issues
1,iphone xr,64gb,tmobile,true,93,fair,good,22067694384134,40-447-3742,Puce,Unit Dose Services,3ecf:c2c:fcff:3079:f228:a73:1a0:a705
2,iphone x,256gb,att,true,98,mint,fair,13110476104208,91-745-3958,Goldenrod,"Lofthouse of Fleetwood, Ltd.",
3,iphone xs,128gb,tmobile,true,100,good,mint,95832231155184,14-912-3225,Crimson,"PD-Rx Pharmaceuticals, Inc.",
4,iphone 8 plus,128gb,sprint,false,90,good,mint,66024979822471,01-040-2364,Maroon,"Solco healthcare U.S., LLC",
5,iphone xr,256gb,sprint,true,92,fair,good,9052976098176,76-531-8561,Maroon,"NCS HealthCare of KY, Inc dba Vangard Labs",
6,iphone xs,256gb,verizon,false,92,fair,good,47860088712175,02-702-9180,Red,"BioActive Nutritional, Inc.",d511:2dfa:fdcd:2c6a:c5ff:2825:2e28:78b7
7,iphone 8 plus,128gb,att,true,85,mint,fair,90781021669862,74-183-1899,Khaki,"Antigen Laboratories, Inc.",d0ae:ee39:2b3e:a335:f41a:dc19:a70c:d99c
8,iphone 8,256gb,att,true,95,good,mint,13721557732641,24-635-5779,Purple,"Nelco Laboratories, Inc.",
9,iphone 8,128gb,tmobile,true,98,mint,good,74896709360732,63-274-5074,Maroon,"Synergy Formulas, Inc.",
10,iphone 8,256gb,att,true,89,mint,fair,76622650812730,07-902-0375,Green,"Deb USA, Inc.",
11,iphone 8 plus,64gb,att,false,100,fair,mint,52675204686338,48-659-9810,Yellow,Wockhardt Limited,
12,iphone xr,64gb,sprint,true,98,fair,mint,67949285892401,00-326-7587,Goldenrod,"Genuine First Aid, LLC",
13,iphone xs,64gb,att,true,89,fair,good,3071303954622,62-986-2019,Turquoise,Healing Natural Oils LLC,
14,iphone x,128gb,tmobile,false,87,mint,fair,8242364368410,33-881-7751,Aquamarine,"MSD Consumer Care, Inc.",
15,iphone 8,64gb,att,false,90,good,fair,73813855210933,53-364-9237,Aquamarine,"Professional Disposables International, Inc.",
16,iphone 8,256gb,verizon,true,85,mint,mint,65906790499443,86-126-1553,Aquamarine,Prasco Laboratories,
17,iphone xr,256gb,verizon,true,89,fair,fair,22783863171325,91-782-7903,Fuscia,Family Dollar (FAMILY WELLNESS),
18,iphone x,256gb,att,false,89,mint,fair,10745665522434,02-363-4830,Red,Meijer Distribution Inc,
19,iphone xr,256gb,att,true,93,mint,mint,57134239209023,91-177-7288,Aquamarine,KJI Industrial Co Ltd,
20,iphone 8,64gb,att,false,85,fair,good,84635247271382,61-228-7718,Fuscia,Safeway,
21,iphone x,64gb,sprint,false,85,mint,good,53287000111481,82-704-6431,Violet,Wakefern Food Corporation,
22,iphone xr,64gb,att,true,87,good,good,83168051698398,85-067-5346,Teal,Qualitest Pharmaceuticals,
23,iphone 8,128gb,att,true,93,good,mint,69776013460449,25-645-3490,Crimson,Hikma Pharmaceutical,
24,iphone x,64gb,sprint,false,89,fair,good,98971829308863,08-238-6960,Green,"Caraco Pharmaceutical Laboratories, Ltd.",
25,iphone 8 plus,64gb,tmobile,true,95,mint,good,47406387455722,66-293-2354,Khaki,Pfizer Laboratories Div Pfizer Inc,
